agent_id,agent_name,state,channel,tenure_years,active_policies,avg_premium_collected,lapse_rate,churn_cluster
AGT000091,Nimrat Memon,West Bengal,Broker,3.5,40,195207.99,0.093,False
AGT000092,Mitali Balan,Bihar,Direct,17.9,381,136309.21,0.206,False
AGT000093,Pranit Naidu,Uttarakhand,Broker,13.3,263,171081.83,0.239,False
AGT000094,Quincy Parmar,Maharashtra,Agent,10.3,158,111658.55,0.145,False
AGT000095,Elijah Kale,Maharashtra,Direct,8.6,321,19728.56,0.121,False
AGT000096,Kamya Dhillon,Gujarat,Broker,9.3,318,66857.45,0.289,False
AGT000097,Jason Andra,Andhra Pradesh,Bancassurance,16.6,73,116870.57,0.278,False
AGT000098,Advay Narasimhan,Uttar Pradesh,Broker,1.7,377,162858.43,0.257,False
AGT000099,Udyati Nagy,Gujarat,Broker,8.4,373,179207.95,0.224,False
AGT000100,Dominic Rajan,Maharashtra,Agent,18.3,68,117982.45,0.032,False
AGT000101,Simon Vyas,Andhra Pradesh,Bancassurance,3.7,312,125766.61,0.248,False
AGT000102,Harshil Mall,Jharkhand,Direct,5.2,229,190068.35,0.305,False
AGT000103,Oviya Saran,Jharkhand,Direct,10.3,213,192604.3,0.156,False
AGT000104,Ekaja Hora,Odisha,Online,3.7,371,116839.84,0.064,False
AGT000105,Chandran Tak,Rajasthan,Direct,19.4,149,91850.7,0.074,False
AGT000106,Chakradhar Maharaj,Uttar Pradesh,Agent,14.0,329,153530.18,0.115,False
AGT000107,Jagdish Dash,Rajasthan,Broker,4.3,20,187471.7,0.267,False
AGT000108,Onveer Narain,Gujarat,Bancassurance,19.0,48,35754.72,0.112,False
AGT000109,Warjas Bail,Delhi,Broker,6.6,7,195223.09,0.139,False
AGT000110,Andrew Agrawal,Maharashtra,Bancassurance,11.2,299,152564.43,0.242,False
AGT000111,Bhavani Deep,Rajasthan,Direct,16.1,261,146385.41,0.283,False
AGT000112,Balhaar Walla,Chhattisgarh,Direct,14.9,272,70493.79,0.31,False
AGT000113,Geetika Babu,Karnataka,Broker,17.4,101,60698.67,0.163,False
AGT000114,Upma Chandran,Kerala,Online,9.4,359,143447.15,0.284,False
AGT000115,Charvi Maharaj,Rajasthan,Online,16.1,377,89038.23,0.334,False
AGT000116,Hiral Ratta,Maharashtra,Online,5.6,13,130019.97,0.08,False
AGT000117,Dhriti Tak,Punjab,Agent,10.9,147,15346.85,0.301,False
AGT000118,Maya Misra,Kerala,Broker,9.0,60,104942.8,0.234,False
AGT000119,Wakeeta Dara,Maharashtra,Broker,17.5,22,99454.15,0.055,False
AGT000120,Harshil Balakrishnan,Uttar Pradesh,Bancassurance,13.2,265,93979.09,0.161,False
AGT000121,Champak Anne,Manipur,Online,6.3,24,197760.42,0.242,False
AGT000122,Henry Naidu,Madhya Pradesh,Bancassurance,15.0,92,63153.71,0.082,False
AGT000123,Upkaar Garde,Chhattisgarh,Agent,13.0,293,27914.13,0.067,False
AGT000124,Rayaan Pillay,Rajasthan,Online,13.9,230,47937.2,0.263,False
AGT000125,Charles Lad,West Bengal,Agent,4.3,242,140715.61,0.14,False
AGT000126,Indrajit Bava,Assam,Bancassurance,18.2,124,91060.77,0.307,False
AGT000127,Falan Lalla,Maharashtra,Direct,0.6,209,132864.25,0.065,False
AGT000128,Ladli Madan,Maharashtra,Online,8.2,107,114359.31,0.035,False
AGT000129,Lakshit Sharma,Jharkhand,Broker,1.6,395,74087.8,0.133,False
AGT000130,Jonathan Nagar,Kerala,Online,5.3,275,100149.83,0.236,False
AGT000131,Odika Sekhon,Karnataka,Online,19.6,379,37139.61,0.14,False
AGT000132,Wridesh Sridhar,Gujarat,Agent,10.1,78,119308.02,0.166,False
AGT000133,Avni Nagy,Himachal Pradesh,Direct,19.8,115,185880.31,0.054,False
AGT000134,Upkaar Chanda,Rajasthan,Broker,13.9,185,125437.73,0.315,False
AGT000135,Chaman Butala,Bihar,Agent,19.7,143,48722.79,0.071,False
AGT000136,Xavier Jha,Telangana,Agent,13.6,312,158596.23,0.252,False
AGT000137,Falan Talwar,Bihar,Direct,15.6,245,175120.57,0.109,False
AGT000138,Simon Arya,Bihar,Broker,5.5,313,20906.95,0.294,False
AGT000139,Upadhriti Rajan,Maharashtra,Broker,0.7,134,21535.58,0.284,False
AGT000140,Vinaya Cheema,Maharashtra,Direct,7.5,64,45581.45,0.066,False
AGT000141,Sathvik Wable,Himachal Pradesh,Direct,4.6,222,78579.15,0.183,False
AGT000142,Devika Setty,Madhya Pradesh,Broker,1.3,55,21559.86,0.142,False
AGT000143,Yamini Cherian,Telangana,Broker,15.8,56,147399.75,0.031,False
AGT000144,Theodore Patla,Andhra Pradesh,Direct,1.6,82,113298.47,0.043,False
AGT000145,Sneha Varghese,Uttar Pradesh,Direct,14.7,199,153879.97,0.192,False
AGT000146,Mugdha Guha,Uttarakhand,Bancassurance,7.5,396,38284.87,0.146,False
AGT000147,Arunima Sampath,Gujarat,Agent,7.9,214,103883.14,0.274,False
AGT000148,Damyanti Chaudry,Himachal Pradesh,Online,7.0,217,160217.76,0.235,False
AGT000149,Triya Chhabra,Andhra Pradesh,Online,3.8,265,149027.65,0.212,False
AGT000150,Wridesh Babu,Madhya Pradesh,Online,17.2,279,159067.59,0.205,False
AGT000151,Rachit Loke,Telangana,Broker,15.9,168,168374.6,0.074,False
AGT000152,Vamakshi Wali,Gujarat,Direct,3.7,111,87618.98,0.092,False
AGT000153,Indira Lanka,Punjab,Agent,5.8,45,138121.32,0.158,False
AGT000154,Frado Pandya,Madhya Pradesh,Agent,19.7,320,119537.54,0.055,False
AGT000155,Simon Dora,Bihar,Direct,13.7,387,154206.79,0.246,False
AGT000156,Yadavi Sankar,Delhi,Broker,16.1,182,175277.15,0.106,False
AGT000157,Chatresh Sastry,Punjab,Broker,19.2,67,61657.79,0.263,False
AGT000158,Kala Chaudhari,Gujarat,Direct,13.4,248,75759.2,0.292,False
AGT000159,Lavanya Sami,Uttar Pradesh,Direct,7.0,342,152702.95,0.209,False
AGT000160,Chaitaly Gulati,Punjab,Broker,12.2,193,40096.02,0.161,False
AGT000161,Patrick Majumdar,Delhi,Bancassurance,3.0,115,54311.69,0.28,False
AGT000162,Zilmil Sant,Odisha,Online,15.9,14,183251.65,0.312,False
AGT000163,Chandresh Kothari,Uttar Pradesh,Direct,11.9,396,193078.71,0.334,False
AGT000164,Theodore Contractor,Karnataka,Broker,16.0,346,158522.77,0.317,False
AGT000165,Balendra Lata,Kerala,Agent,13.0,163,151493.84,0.312,False
AGT000166,Dominic Wali,Uttar Pradesh,Agent,19.2,289,48046.29,0.334,False
AGT000167,Anya Kara,Assam,Online,2.3,224,120080.18,0.155,False
AGT000168,Manya Ramaswamy,Bihar,Broker,14.8,261,47224.3,0.252,False
AGT000169,Thomas Loyal,Delhi,Direct,3.4,59,125829.52,0.279,False
AGT000170,Samesh Garg,Punjab,Online,12.0,324,162504.43,0.342,False
AGT000171,Idika Mani,Madhya Pradesh,Agent,3.1,64,125533.36,0.205,False
AGT000172,Aarush Chandra,Delhi,Direct,19.2,353,61844.89,0.096,False
AGT000173,Yahvi Sood,Gujarat,Online,17.1,158,125252.71,0.052,False
AGT000174,William Garde,Maharashtra,Direct,8.4,40,89651.23,0.237,False
AGT000175,Ekaraj Ganesan,Odisha,Agent,0.8,350,158189.78,0.037,False
AGT000176,Gaurangi Shah,Karnataka,Bancassurance,14.0,352,46819.39,0.187,False
AGT000177,Agastya Som,Telangana,Direct,12.9,375,19564.95,0.19,False
AGT000178,Gaurika Bail,Chhattisgarh,Online,12.2,23,158730.55,0.042,False
AGT000179,Aishani Bose,Uttar Pradesh,Agent,15.2,284,60274.75,0.156,False
AGT000180,Aditya Pandey,Bihar,Broker,6.4,99,74095.78,0.086,False
AGT000181,Aarav Suresh,Delhi,Broker,15.8,361,78728.38,0.333,False
AGT000182,Urmi Choudhary,Gujarat,Bancassurance,16.4,165,96933.98,0.105,False
AGT000183,Anay Mannan,Kerala,Direct,12.6,202,90037.2,0.168,False
AGT000184,Yahvi Ganesh,Haryana,Online,4.8,216,175492.35,0.269,False
AGT000185,Girindra Chaudhry,Madhya Pradesh,Online,0.6,300,78730.51,0.171,False
AGT000186,Gautami Sethi,Maharashtra,Direct,19.3,300,85299.47,0.142,False
AGT000187,Indali Kurian,Rajasthan,Bancassurance,3.3,116,192885.06,0.289,False
AGT000188,Zehaan Patla,West Bengal,Bancassurance,0.8,91,95893.39,0.329,False
AGT000189,Agastya Pandit,Bihar,Agent,1.8,51,156528.33,0.281,False
AGT000190,Gauri Vasa,Tamil Nadu,Bancassurance,14.6,26,97996.33,0.081,False
AGT000191,Isaiah Madan,Jharkhand,Agent,6.9,202,194403.61,0.182,False
AGT000192,Manbir Roy,Kerala,Direct,13.2,270,15451.27,0.228,False
AGT000193,Lucky Parikh,Haryana,Bancassurance,14.3,153,118116.45,0.148,False
AGT000194,Azaan Konda,Delhi,Bancassurance,6.7,204,183891.64,0.201,False
AGT000195,Jagvi Jhaveri,Uttar Pradesh,Bancassurance,16.6,159,25459.33,0.125,False
AGT000196,Rishi Purohit,Bihar,Agent,18.4,17,147620.72,0.23,False
AGT000197,Anusha Sengupta,Manipur,Bancassurance,13.0,229,167917.26,0.221,False
AGT000198,Alka Palla,Telangana,Broker,19.5,115,20900.98,0.154,False
AGT000199,Mahika Sahni,Uttar Pradesh,Bancassurance,3.3,76,82604.69,0.167,False
AGT000200,Dayamai Halder,West Bengal,Agent,9.5,335,195000.39,0.236,False
AGT000201,Zinal Oza,Uttar Pradesh,Agent,10.0,102,20497.68,0.033,False
AGT000202,Rachita Sha,Tamil Nadu,Bancassurance,11.2,51,143761.38,0.04,False
AGT000203,Bhavya Choudhary,Maharashtra,Bancassurance,17.8,275,70357.57,0.342,False
AGT000204,Wishi Din,Uttar Pradesh,Direct,8.1,262,146555.42,0.291,False
AGT000205,Mason Virk,Karnataka,Direct,18.2,397,104817.77,0.261,False
AGT000206,Nicholas Mitter,Maharashtra,Direct,16.6,305,19296.17,0.055,False
AGT000207,Bhavya Bhattacharyya,Karnataka,Broker,8.3,367,179189.76,0.178,False
AGT000208,Alexander Setty,Jharkhand,Broker,11.4,360,81689.59,0.044,False
AGT000209,Teerth Mandal,Bihar,Direct,7.6,60,127356.6,0.128,False
AGT000210,Chatresh Suresh,Bihar,Broker,8.5,109,198569.94,0.156,False
AGT000211,Abdul Sani,Bihar,Direct,18.4,234,160538.7,0.298,False
AGT000212,Aadi Bedi,West Bengal,Broker,19.9,256,21157.09,0.297,False
AGT000213,Lakshit Palla,Uttar Pradesh,Broker,9.8,367,160734.85,0.092,False
AGT000214,Yadavi Dubey,Rajasthan,Direct,12.1,146,139978.69,0.141,False
AGT000215,Anika Dhar,Gujarat,Agent,13.4,132,140221.73,0.267,False
AGT000216,Rachana Buch,Bihar,Direct,13.9,328,20643.44,0.137,False
AGT000217,Theodore Balay,Maharashtra,Broker,2.8,147,53359.06,0.038,False
AGT000218,Isha Kothari,Bihar,Broker,16.5,110,112427.94,0.166,False
AGT000219,Pahal Rastogi,Tamil Nadu,Agent,3.1,218,56185.32,0.101,False
AGT000220,Advika Mittal,Punjab,Bancassurance,8.1,187,117978.25,0.34,False
AGT000221,Oscar Sarin,Karnataka,Bancassurance,9.9,210,147578.96,0.264,False
AGT000222,Liam Iyengar,Telangana,Direct,9.3,84,165067.32,0.152,False
AGT000223,Krishna Saha,West Bengal,Agent,10.2,149,102787.24,0.169,False
AGT000224,Charvi Mody,Uttar Pradesh,Agent,11.6,66,129441.29,0.302,False
AGT000225,Chameli Shenoy,Rajasthan,Direct,17.5,384,79516.89,0.305,False
AGT000226,Keya Sarkar,West Bengal,Online,12.4,106,67133.72,0.238,False
AGT000227,Lakshit Vyas,Bihar,Agent,8.7,295,123651.83,0.038,False
AGT000228,Dhriti Thakur,Tamil Nadu,Agent,12.7,200,73398.57,0.077,False
AGT000229,Upadhriti Pandya,Maharashtra,Agent,4.9,377,140030.22,0.046,False
AGT000230,Unnati Salvi,Telangana,Broker,9.3,99,83034.32,0.066,False
AGT000231,Triya Bala,Karnataka,Direct,10.7,143,194885.03,0.18,False
AGT000232,Oviya Chakrabarti,Uttarakhand,Online,2.6,187,57578.29,0.16,False
AGT000233,Chasmum Kibe,Karnataka,Bancassurance,13.7,347,121987.06,0.187,False
AGT000234,Joshua Memon,Madhya Pradesh,Bancassurance,2.9,246,45068.64,0.127,False
AGT000235,Maya Dass,Delhi,Direct,1.0,272,44632.84,0.319,False
AGT000236,Abeer Shere,West Bengal,Agent,10.2,197,158078.77,0.042,False
AGT000237,Chatura Chad,Madhya Pradesh,Online,8.3,44,197007.04,0.271,False
AGT000238,Anamika Chhabra,West Bengal,Broker,12.4,299,154530.85,0.241,False
AGT000239,Gunbir Mannan,Maharashtra,Agent,10.6,120,62821.29,0.186,False
AGT000240,Garima Bhat,Chhattisgarh,Direct,5.3,228,69317.5,0.19,False
AGT000241,Yasti Bera,Delhi,Broker,9.2,385,80171.66,0.039,False
AGT000242,Zaitra Dhawan,Uttar Pradesh,Bancassurance,8.6,252,60423.57,0.268,False
AGT000243,Laban Kapoor,West Bengal,Online,3.1,155,35201.03,0.032,False
AGT000244,Charvi Mukhopadhyay,Telangana,Bancassurance,19.9,392,160076.49,0.082,False
AGT000245,Vedhika Iyer,West Bengal,Bancassurance,7.0,134,142157.34,0.046,False
AGT000246,Ekalinga Acharya,Uttar Pradesh,Bancassurance,15.6,398,159610.15,0.155,False
AGT000247,Jai Venkatesh,Bihar,Online,12.1,318,183227.66,0.067,False
AGT000248,Yug Jayaraman,Karnataka,Direct,13.8,147,160732.86,0.338,False
AGT000249,Urvi Bakshi,Jharkhand,Bancassurance,1.1,199,61802.76,0.15,False
AGT000250,Mahika Bhakta,Punjab,Broker,7.6,190,130454.42,0.295,False
AGT000251,Charita Ravel,Haryana,Agent,14.2,140,158919.01,0.294,False
AGT000252,Qarin Keer,Gujarat,Direct,18.1,218,87510.83,0.168,False
AGT000253,Reva Dasgupta,West Bengal,Broker,14.3,49,172284.06,0.078,False
AGT000254,Madhav Bains,Tamil Nadu,Direct,17.1,190,182878.68,0.309,False
AGT000255,Lucky Khosla,Assam,Online,18.5,303,129949.46,0.222,False
AGT000256,Yasti Iyer,Assam,Online,1.4,343,72999.28,0.326,False
AGT000257,Varsha Mann,West Bengal,Direct,9.8,396,47824.47,0.186,False
AGT000258,Harish Tailor,Bihar,Online,11.4,349,89833.59,0.055,False
AGT000259,Anvi Raman,Madhya Pradesh,Agent,14.2,347,30254.27,0.081,False
AGT000260,Hredhaan Shetty,Madhya Pradesh,Online,18.7,45,135674.03,0.06,False
AGT000261,Pavani Divan,Uttar Pradesh,Bancassurance,5.3,150,120447.21,0.034,False
AGT000262,Bhanumati Shankar,Maharashtra,Broker,18.6,338,78372.62,0.236,False
AGT000263,Lopa Apte,Gujarat,Online,5.5,226,120700.95,0.085,False
AGT000264,Bahadurjit Saxena,West Bengal,Broker,7.1,355,158682.63,0.061,False
AGT000265,Isha Dewan,Telangana,Agent,3.1,116,140465.38,0.18,False
AGT000266,Tara Malhotra,Maharashtra,Broker,1.7,210,24505.35,0.222,False
AGT000267,Nathan Parmar,Rajasthan,Broker,7.9,23,128377.49,0.24,False
AGT000268,Ikshita Vohra,Uttar Pradesh,Broker,11.2,171,122033.67,0.13,False
AGT000269,Yochana Bhatnagar,Assam,Bancassurance,16.8,6,52042.89,0.232,False
AGT000270,Max Pandey,Punjab,Agent,16.8,162,144204.3,0.037,False
AGT000271,Tripti Dey,Uttar Pradesh,Broker,7.3,205,149473.66,0.25,False
AGT000272,Chavvi Ramesh,Karnataka,Online,13.1,393,127069.25,0.052,False
AGT000273,Veda Puri,Jharkhand,Agent,12.8,181,109861.27,0.274,False
AGT000274,Pranit Tripathi,Haryana,Direct,16.4,282,156534.25,0.277,False
AGT000275,Kai Naik,Uttar Pradesh,Bancassurance,14.1,38,194205.47,0.214,False
AGT000276,Netra Bir,Gujarat,Broker,3.9,399,77078.17,0.085,False
AGT000277,Ayushman Dutt,Maharashtra,Direct,10.1,170,186676.93,0.183,False
AGT000278,Gopal Cherian,Maharashtra,Bancassurance,16.4,355,59348.58,0.034,False
AGT000279,Vamakshi Naik,Rajasthan,Broker,11.3,338,54067.73,0.267,False
AGT000280,Warjas Cheema,Tamil Nadu,Direct,17.3,228,160084.84,0.244,False
AGT000281,Leena Salvi,Tamil Nadu,Online,10.7,266,100825.5,0.257,False
AGT000282,David Krishna,Rajasthan,Online,3.0,198,144856.83,0.237,False
AGT000283,Baljiwan Bora,Karnataka,Online,5.3,145,192954.32,0.305,False
AGT000284,Kavya Balan,Odisha,Bancassurance,14.9,163,112629.71,0.342,False
AGT000285,Ekani Chokshi,Assam,Broker,11.6,18,52606.66,0.223,False
AGT000286,Krishna Deol,Uttar Pradesh,Broker,9.1,59,142403.41,0.297,False
AGT000287,Rohan Krishnan,Maharashtra,Online,11.9,86,99085.66,0.277,False
AGT000288,Raksha Mangal,Odisha,Bancassurance,15.2,115,110783.2,0.087,False
AGT000289,Saksham Edwin,Odisha,Agent,14.3,379,70278.62,0.257,False
AGT000290,Rehaan Chadha,Jharkhand,Agent,10.8,219,60767.31,0.141,False
AGT000291,Gopal Jani,West Bengal,Direct,16.1,103,138463.56,0.2,False
AGT000292,Logan Ahluwalia,Bihar,Broker,4.0,85,123556.94,0.341,False
AGT000293,Nikita Bora,Uttar Pradesh,Direct,5.8,14,44092.63,0.342,False
AGT000294,Qasim Wable,Gujarat,Bancassurance,12.6,84,117894.52,0.102,False
AGT000295,Ranveer Johal,Tamil Nadu,Bancassurance,0.9,43,30246.74,0.147,False
AGT000296,Xiti Pandey,West Bengal,Online,15.2,221,74476.71,0.26,False
AGT000297,Lakshit Bhavsar,West Bengal,Broker,20.0,146,133105.84,0.27,False
AGT000298,Prisha Puri,Haryana,Bancassurance,10.5,259,191934.49,0.319,False
AGT000299,Farhan Datta,Madhya Pradesh,Broker,17.8,379,124221.01,0.056,False
AGT000300,Harrison Dalal,Delhi,Online,2.6,35,195736.19,0.098,False
AGT000301,Vihaan Behl,Tamil Nadu,Online,12.8,256,53240.24,0.215,False
AGT000302,Arin Kapur,Rajasthan,Broker,4.1,230,148766.21,0.053,False
AGT000303,Zayan Ramakrishnan,Punjab,Direct,5.4,177,164366.96,0.086,False
AGT000304,Ekansh Dugar,West Bengal,Bancassurance,7.5,354,71453.29,0.074,False
AGT000305,Falan Warrior,Uttarakhand,Bancassurance,1.1,252,109534.89,0.057,False
AGT000306,Zarna Tella,Odisha,Agent,2.1,206,165934.21,0.114,False
AGT000307,Mohini Bhandari,Meghalaya,Agent,19.3,257,106355.16,0.324,False
AGT000308,Urishilla Lall,Kerala,Broker,5.1,343,145883.76,0.058,False
AGT000309,Bachittar Nigam,West Bengal,Bancassurance,9.1,381,111928.02,0.221,False
AGT000310,Advika Iyer,Himachal Pradesh,Direct,14.1,271,112139.15,0.077,False
AGT000311,Daniel Dewan,Uttarakhand,Direct,12.8,50,34071.39,0.077,False
AGT000312,Forum Bhatia,Andhra Pradesh,Online,13.0,148,111485.68,0.246,False
AGT000313,Wakeeta Bora,Tamil Nadu,Direct,1.6,60,130691.26,0.239,False
AGT000314,Hiral Bobal,Odisha,Broker,16.3,102,29001.91,0.232,False
AGT000315,Faris Srinivas,Bihar,Agent,8.6,263,147849.07,0.047,False
AGT000316,Anika Barman,Odisha,Online,13.8,62,37191.79,0.054,False
AGT000317,Balendra Taneja,Tamil Nadu,Direct,4.9,30,167576.01,0.289,False
AGT000318,Inaya Sankar,Uttar Pradesh,Agent,10.8,133,158069.26,0.074,False
AGT000319,Chavvi Kari,Telangana,Broker,18.3,43,132902.38,0.188,False
AGT000320,Christopher Bal,Maharashtra,Direct,7.2,76,149517.88,0.203,False
AGT000321,Ladli Badami,Maharashtra,Online,14.0,82,87526.27,0.088,False
