customer_id,name,age,gender,state,city,pincode,occupation,income_band,credit_tier,tenure_months,channel,family_size,segment,email,phone,bank_account_prefix,in_fraud_ring,created_at
CUST000024,Vamakshi Hora,42.0,Male,Karnataka,Hosur,974909,Self-Employed,5-10L,Near-Prime,25.0,Agent,3.0,HNI,uchoudhury@example.com,9876873818,HDFC,True,2024-02-25
CUST000025,Tanmayi Acharya,70.0,Male,Rajasthan,Vellore,725878,Government Employee,2-5L,Prime,9.0,Direct,2.0,Mass-Affluent,chandani48@example.org,9876969483,HDFC,True,2024-12-21
CUST000026,Anvi Thakur,30.0,Male,Rajasthan,Gandhidham,270587,Farmer,<2L,Near-Prime,50.0,Broker,2.0,Mass,lgade@example.org,9876393589,HDFC,True,2020-04-14
CUST000027,Daksha Chandra,23.0,Male,West Bengal,Tiruvottiyur,313348,Salaried,2-5L,Near-Prime,53.0,Direct,2.0,Affluent,ekaja87@example.org,9876821386,HDFC,True,2021-08-24
CUST000028,Shivansh Dubey,29.0,Female,Bihar,Sangli-Miraj & Kupwad,622925,Self-Employed,10-25L,Near-Prime,22.0,Bancassurance,4.0,Affluent,xsaha@example.net,9876514242,HDFC,True,2020-11-09
CUST000029,Veer Lall,50.0,Male,Rajasthan,Avadi,245557,Government Employee,<2L,Thin-File,60.0,Agent,1.0,Affluent,pavani96@example.com,9876760187,HDFC,True,2020-08-18
CUST000030,Netra Bhakta,35.0,Male,Punjab,Raichur,740334,Business Owner,2-5L,Near-Prime,33.0,Agent,6.0,Mass,kashvi05@example.com,9876683881,HDFC,True,2021-04-04
CUST000031,Eshana Iyengar,56.0,Male,Tamil Nadu,Tadipatri,411325,Homemaker,2-5L,Near-Prime,50.0,Online,4.0,Affluent,csinghal@example.net,9876403217,HDFC,True,2023-05-26
CUST000032,Vidhi Krish,43.0,Female,Tamil Nadu,Medininagar,010548,Student,50L+,Prime,22.0,Broker,2.0,Mass,raksha41@example.com,9876962104,HDFC,True,2022-01-07
CUST000033,Ethan Nair,56.0,,Kerala,Saharanpur,949381,Self-Employed,5-10L,Sub-Prime,6.0,Direct,1.0,Mass-Affluent,ukorpal@example.net,9876269162,HDFC,True,2024-09-26
CUST000034,Bishakha Bains,53.0,Male,Uttar Pradesh,Jabalpur,573257,Homemaker,10-25L,Near-Prime,66.0,Agent,1.0,Mass-Affluent,trivenipathak@example.com,9876988742,HDFC,True,2021-06-15
CUST000035,Aashi Kumer,65.0,Male,Delhi,Kolhapur,666708,Self-Employed,<2L,Sub-Prime,3.0,Online,2.0,Mass-Affluent,valakashvi@example.org,9876897869,HDFC,True,2022-07-28
CUST000036,Azad Thaman,42.0,Male,Karnataka,Siwan,495119,Student,10-25L,Prime,42.0,Agent,2.0,Mass,chowdhurynathan@example.net,9876894334,HDFC,True,2022-06-22
CUST000037,Upadhriti Halder,19.0,Female,Uttar Pradesh,Chinsurah,772512,Government Employee,2-5L,Thin-File,60.0,Agent,3.0,Mass-Affluent,sudiksha86@example.org,9876721138,HDFC,True,2020-06-10
CUST000038,Chaaya Ahuja,65.0,Male,Andhra Pradesh,Surat,356243,Retired,<2L,Near-Prime,49.0,Broker,3.0,Mass,tanvi39@example.com,9876156485,HDFC,True,2023-05-30
CUST000039,Ranbir Divan,67.0,Female,Telangana,Aizawl,108902,Farmer,2-5L,Prime,54.0,Agent,6.0,Mass,ekapad55@example.org,9876422223,HDFC,True,2020-03-12
CUST000040,Saksham Mitter,39.0,Female,Assam,Khandwa,335027,Student,<2L,Sub-Prime,40.0,Broker,5.0,Mass,prashadatharv@example.com,9876974856,HDFC,True,2024-08-28
CUST000041,Lajita Bawa,57.0,Male,Jharkhand,Bahraich,336911,Student,5-10L,Sub-Prime,64.0,Agent,1.0,Mass,yashawinivarty@example.org,9876992609,HDFC,True,2024-11-16
CUST000042,Shaurya Dara,27.0,Female,Tamil Nadu,Mahbubnagar,563318,Farmer,2-5L,Prime,38.0,Direct,5.0,Mass,vanya48@example.org,9876114348,HDFC,True,2022-08-07
CUST000043,Amol Amble,63.0,Male,Rajasthan,Bidar,155416,Business Owner,2-5L,Sub-Prime,43.0,Agent,3.0,HNI,veer16@example.com,9876371409,HDFC,True,2024-08-14
CUST000044,Anvi Naik,51.0,Female,Bihar,Ajmer,290282,Professional,2-5L,Prime,31.0,Direct,1.0,Mass,upmabarad@example.org,9876417903,HDFC,True,2022-01-09
CUST000045,Chaaya Prabhu,54.0,Male,Uttar Pradesh,Sangli-Miraj & Kupwad,228225,Student,10-25L,Sub-Prime,65.0,Broker,6.0,Mass-Affluent,gabaayushman@example.com,9876120428,HDFC,True,2023-11-08
CUST000046,Damini Raval,20.0,Male,Assam,Bilaspur,005070,Business Owner,5-10L,Prime,36.0,Online,5.0,Affluent,nikitabatra@example.net,9876195008,HDFC,True,2024-01-15
CUST000047,Omkaar Dugar,37.0,Female,Assam,Kanpur,316117,Government Employee,10-25L,Near-Prime,46.0,Agent,3.0,Mass-Affluent,isagar@example.com,9876676297,HDFC,True,2021-12-01
CUST000048,Aadi Mukhopadhyay,25.0,Male,Uttar Pradesh,Nandyal,258591,Homemaker,5-10L,Prime,22.0,Broker,7.0,Mass-Affluent,vtailor@example.net,9876943648,HDFC,True,2021-06-27
CUST000049,Jeremiah Kanda,66.0,Male,Odisha,Asansol,116491,Homemaker,2-5L,Near-Prime,31.0,Broker,2.0,Mass-Affluent,upkaarkrishna@example.org,9876270501,HDFC,True,2022-03-18
CUST000050,Falguni Shere,29.0,Female,Uttar Pradesh,Mira-Bhayandar,652906,Retired,2-5L,Prime,49.0,Agent,3.0,Mass-Affluent,horaqabil@example.org,9876275105,HDFC,True,2022-10-05
CUST000051,Bahadurjit Khanna,49.0,Male,Maharashtra,Sikar,097753,Retired,10-25L,Thin-File,62.0,Online,5.0,Mass,nseth@example.com,9876399977,HDFC,True,2021-01-31
CUST000052,Ria Dalal,62.0,Female,Gujarat,Kottayam,524578,Retired,2-5L,Near-Prime,65.0,Agent,2.0,Mass,qchar@example.com,9876387625,HDFC,True,2023-09-29
CUST000053,Dev Pau,58.0,Male,Bihar,Indore,137118,Retired,10-25L,Prime,71.0,Agent,3.0,Mass,jonathan54@example.com,9876214803,HDFC,True,2023-03-12
CUST000054,Fitan Thaman,38.0,Male,Bihar,Sikar,230358,Business Owner,<2L,Sub-Prime,6.0,Agent,7.0,Mass,champakwalia@example.com,9876352873,HDFC,True,2021-08-18
CUST000055,Ojas Prasad,26.0,Male,Jharkhand,Salem,932896,Professional,2-5L,Near-Prime,36.0,Online,2.0,Mass,aryabawa@example.com,9876808177,HDFC,True,2021-07-04
CUST000056,Madhavi Vig,26.0,Male,West Bengal,Fatehpur,524014,Homemaker,5-10L,Prime,56.0,Direct,1.0,Mass-Affluent,sathvik99@example.org,9876637997,HDFC,True,2020-10-21
CUST000057,Nirja Dey,62.0,Female,Tamil Nadu,Ongole,362669,Business Owner,25-50L,Near-Prime,6.0,Broker,1.0,Mass,yuvrajpalla@example.org,9876973773,HDFC,True,2022-12-14
CUST000058,Anya Dey,40.0,Male,Punjab,Amravati,372450,Student,2-5L,Near-Prime,68.0,Direct,4.0,Mass,vermadeepa@example.net,9876463337,HDFC,True,2021-01-04
CUST000059,Urishilla Kata,52.0,Female,Karnataka,Bihar Sharif,897215,Retired,5-10L,Near-Prime,4.0,Agent,3.0,Mass-Affluent,banjeet64@example.org,9876455683,HDFC,True,2023-10-18
CUST000060,Pooja Ganguly,55.0,Female,Tamil Nadu,Jalna,811995,Business Owner,10-25L,Near-Prime,32.0,Direct,3.0,Mass,wardasankaran@example.com,9876510665,HDFC,True,2023-11-19
CUST000061,Henry Mammen,39.0,Male,Gujarat,Chandrapur,645101,Business Owner,25-50L,Near-Prime,68.0,Online,4.0,HNI,lkibe@example.com,9876328206,HDFC,True,2020-08-14
CUST000062,Radha Lata,66.0,Female,Uttar Pradesh,Morbi,986091,Government Employee,<2L,Prime,47.0,Broker,2.0,Mass,chandranjacob@example.org,9876341809,HDFC,True,2020-12-31
CUST000063,Oviya Ramesh,47.0,Female,Karnataka,Sri Ganganagar,798066,Business Owner,5-10L,Sub-Prime,71.0,Online,3.0,Mass,kalitapratyush@example.org,9876908981,HDFC,True,2024-10-24
CUST000064,Hardik Master,46.0,Male,Bihar,Bhopal,455534,Government Employee,2-5L,Near-Prime,33.0,Broker,7.0,Mass,ubatta@example.com,9876568328,HDFC,True,2020-04-09
CUST000065,Naveen Kadakia,59.0,Female,Karnataka,Rewa,271559,Farmer,10-25L,Near-Prime,38.0,Agent,7.0,Mass-Affluent,edhithamohan@example.org,9876834625,HDFC,True,2022-10-03
CUST000066,Nidra Munshi,51.0,Male,Karnataka,Gaya,347557,Retired,<2L,Sub-Prime,50.0,Agent,4.0,Mass,nathaniel25@example.org,9876146894,HDFC,True,2024-04-16
CUST000067,Ranveer Mukherjee,50.0,Female,West Bengal,Karaikudi,691311,Retired,10-25L,Sub-Prime,63.0,Broker,3.0,Mass-Affluent,jlall@example.net,9876908410,HDFC,True,2021-08-28
CUST000068,Irya Ranganathan,42.0,Female,West Bengal,Kharagpur,499153,Retired,2-5L,Prime,21.0,Agent,5.0,Affluent,pbaria@example.net,9876471829,HDFC,True,2023-10-19
CUST000069,Anusha Bal,59.0,Female,Bihar,Rajahmundry,337320,Homemaker,5-10L,Thin-File,22.0,Agent,3.0,Mass-Affluent,yagnesh09@example.com,9876475413,HDFC,True,2023-08-24
CUST000070,Oeshi Handa,42.0,Female,Maharashtra,Gaya,964546,Business Owner,<2L,Near-Prime,5.0,Online,5.0,Mass,janya35@example.net,9876233417,HDFC,True,2020-01-22
CUST000071,Faraj Desai,29.0,Male,Kerala,Shahjahanpur,187851,Professional,2-5L,Prime,63.0,Agent,1.0,Mass,ijayakapur@example.com,9876890587,HDFC,True,2020-02-17
CUST000072,Chatresh Sharma,72.0,Female,Assam,Mehsana,120878,Government Employee,5-10L,Prime,46.0,Broker,5.0,Mass-Affluent,palanvansha@example.net,9876620031,HDFC,True,2021-08-12
CUST000073,Devansh Pandya,43.0,Male,Delhi,Bally,097626,Professional,5-10L,Near-Prime,70.0,Direct,6.0,Mass,siyamukherjee@example.net,9876964351,HDFC,True,2023-06-01
CUST000074,Ganga Kaul,27.0,Female,Jharkhand,Asansol,090591,Homemaker,10-25L,Near-Prime,23.0,Broker,5.0,Mass-Affluent,bhattodika@example.net,9876844457,HDFC,True,2023-07-22
CUST000075,Robert Kothari,29.0,Female,Uttar Pradesh,Bokaro,715116,Salaried,25-50L,Near-Prime,71.0,Broker,2.0,Mass,yreddy@example.net,9876519835,HDFC,True,2023-03-22
CUST000076,Lakshit Oza,72.0,Female,Assam,Jalandhar,526471,Farmer,10-25L,Near-Prime,6.0,Agent,5.0,Mass,abharatti@example.org,9876143415,HDFC,True,2023-05-04
CUST000077,Indali Bumb,28.0,Male,Haryana,Bidhannagar,840908,Student,<2L,Near-Prime,42.0,Agent,5.0,Mass-Affluent,prakashgirish@example.org,9876214095,HDFC,True,2024-04-22
CUST000078,Advik Agrawal,23.0,Female,Uttarakhand,Yamunanagar,099512,Retired,<2L,Near-Prime,45.0,Direct,4.0,Mass,wishigopal@example.net,9876643069,HDFC,True,2024-02-18
CUST000079,Hemani Chatterjee,61.0,Male,Maharashtra,Ghaziabad,927282,Farmer,<2L,Prime,18.0,Online,2.0,Mass,nbalasubramanian@example.org,9876152359,HDFC,True,2021-03-12
CUST000080,Devika Manne,40.0,Female,Gujarat,Karnal,982173,Business Owner,5-10L,Thin-File,2.0,Online,6.0,Mass,geetikasha@example.net,9876819551,HDFC,True,2023-08-19
CUST000081,Sara Dada,51.0,Male,Karnataka,Sonipat,523736,Retired,10-25L,Near-Prime,3.0,Broker,3.0,Mass-Affluent,parmardaniel@example.com,9876254647,HDFC,True,2020-01-07
CUST000082,Zinal Chand,68.0,Female,Kerala,Hajipur,834527,Salaried,<2L,Near-Prime,58.0,Direct,6.0,Affluent,brindasandhu@example.com,9876263224,HDFC,True,2023-10-23
CUST000083,Krishna Butala,35.0,Female,Madhya Pradesh,Nagpur,158796,Self-Employed,50L+,Near-Prime,1.0,Agent,3.0,Mass-Affluent,widisha40@example.net,9876196771,HDFC,True,2022-12-30
CUST000084,Raghav Chakraborty,57.0,Male,Andhra Pradesh,Dharmavaram,508004,Farmer,2-5L,Thin-File,37.0,Direct,1.0,Mass,wguha@example.net,9876730665,HDFC,True,2021-07-01
CUST000085,Radha Trivedi,33.0,Female,Jharkhand,Danapur,031723,Salaried,5-10L,Near-Prime,29.0,Online,2.0,Affluent,elijah37@example.org,9876656058,HDFC,True,2024-04-04
CUST000086,Chakradev Raj,38.0,Female,Himachal Pradesh,Bhiwandi,035263,Homemaker,10-25L,Near-Prime,47.0,Broker,6.0,Mass-Affluent,neelima02@example.org,9876664187,HDFC,True,2024-10-04
CUST000087,Aarna Sami,60.0,Female,Gujarat,Kurnool,606664,Homemaker,2-5L,Sub-Prime,30.0,Direct,6.0,Mass,vinayakulkarni@example.net,9876512218,HDFC,True,2022-05-16
CUST000088,Megha Barman,54.0,Other,Uttar Pradesh,Warangal,111271,Business Owner,5-10L,Sub-Prime,26.0,Direct,5.0,Mass,falakganesh@example.net,9876906062,HDFC,True,2022-04-11
CUST000089,Mitali Mane,35.0,Male,Haryana,Anantapuram,116318,Self-Employed,5-10L,Near-Prime,36.0,Online,4.0,Mass,iiyer@example.net,9876439889,HDFC,True,2021-09-14
CUST000090,Upasna Srinivas,22.0,Female,West Bengal,Gorakhpur,062113,Salaried,10-25L,Sub-Prime,10.0,Agent,1.0,Mass,cprabhakar@example.net,9876694038,HDFC,True,2022-06-12
CUST000091,Riya Barman,62.0,Female,Telangana,Bhagalpur,090254,Retired,2-5L,Near-Prime,22.0,Agent,6.0,Mass,inayashere@example.org,9876198300,HDFC,True,2023-11-16
CUST000092,Mahika Rai,20.0,Male,West Bengal,Jalna,323570,Retired,<2L,Prime,34.0,Online,5.0,Mass,pboase@example.net,9876316274,HDFC,True,2022-08-02
CUST000093,Naveen Dhar,20.0,Male,Maharashtra,Howrah,168809,Farmer,<2L,Prime,45.0,Broker,7.0,Affluent,ekantaprabhakar@example.org,9876598547,HDFC,True,2023-05-30
CUST000094,Hemang Kaur,32.0,Female,Uttar Pradesh,Eluru,906913,Business Owner,2-5L,Near-Prime,5.0,Online,3.0,Mass-Affluent,borahanmol@example.net,9876229775,HDFC,True,2023-02-01
CUST000095,Libni Mandal,68.0,Male,Kerala,Hospet,794577,Business Owner,50L+,Thin-File,17.0,Online,1.0,HNI,suhaniyadav@example.com,9876257296,HDFC,True,2022-04-15
CUST000096,Maanas Mangat,60.0,Male,Assam,Munger,250642,Farmer,<2L,Thin-File,71.0,Direct,7.0,Mass,sharafnirja@example.net,9876452017,HDFC,True,2021-02-02
CUST000097,Neelima Dass,52.0,Female,Maharashtra,Dhule,667776,Professional,<2L,Thin-File,16.0,Agent,4.0,Mass-Affluent,vpatla@example.com,9876699942,HDFC,True,2022-12-18
CUST000098,Kiaan Wagle,29.0,Male,Rajasthan,Sambalpur,393957,Student,10-25L,Near-Prime,62.0,Direct,5.0,Mass-Affluent,pprasad@example.com,9876238115,HDFC,True,2023-08-12
CUST000099,Maya Dhaliwal,57.0,Male,Bihar,Moradabad,496033,Salaried,25-50L,Sub-Prime,31.0,Agent,5.0,Mass-Affluent,naksh68@example.com,9876385219,HDFC,True,2022-11-25
CUST000100,Saanvi Bajwa,58.0,Male,Maharashtra,Kharagpur,492693,Retired,<2L,Near-Prime,66.0,Agent,6.0,Mass,nishanadig@example.com,9876180492,HDFC,True,2024-07-18
CUST000101,Kalpit Sur,21.0,Female,Maharashtra,Phagwara,111000,Homemaker,5-10L,Prime,15.0,Agent,4.0,HNI,gautam55@example.org,9876301913,HDFC,True,2020-03-20
CUST000102,Tanay Mohanty,22.0,Male,Rajasthan,Mirzapur,977524,Student,5-10L,Near-Prime,4.0,Bancassurance,5.0,HNI,harrison82@example.org,9876241962,HDFC,True,2022-02-24
CUST000103,Ojasvi Dani,46.0,Male,Bihar,Kozhikode,431271,Student,25-50L,Near-Prime,61.0,Online,7.0,Mass-Affluent,deshmukhlakshmi@example.com,9876342829,HDFC,True,2023-07-07
CUST000104,Vansha Garde,26.0,Male,Bihar,Dharmavaram,799270,Professional,5-10L,Prime,21.0,Direct,2.0,Mass,vpadmanabhan@example.org,9876550247,HDFC,True,2021-12-14
CUST000105,Ekapad Goel,25.0,Male,Bihar,Dewas,213541,Self-Employed,5-10L,Near-Prime,29.0,Broker,5.0,Mass-Affluent,warda09@example.net,9876765815,HDFC,True,2020-05-08
CUST000106,Omkaar Patla,57.0,Male,Bihar,Nellore,807520,Self-Employed,2-5L,Sub-Prime,31.0,Agent,7.0,Mass,daminilall@example.com,9876115613,HDFC,True,2023-02-27
CUST000107,Geetika Baria,36.0,Male,Kerala,Berhampore,580290,Government Employee,<2L,Sub-Prime,21.0,Bancassurance,2.0,HNI,mittallajita@example.org,9876628968,HDFC,True,2020-12-03
CUST000108,Lajita Rama,64.0,Male,Jharkhand,Gopalpur,558665,Student,5-10L,Prime,35.0,Online,3.0,Affluent,hirallal@example.net,9876676649,HDFC,True,2020-11-18
CUST000109,Vrinda Manda,47.0,Female,Maharashtra,Gwalior,158102,Government Employee,10-25L,Near-Prime,28.0,Online,1.0,Mass,kibefalan@example.org,9876843569,HDFC,True,2020-10-04
CUST000110,Dhruv Dube,23.0,Female,Assam,Chandigarh,005912,Self-Employed,10-25L,Prime,32.0,Online,7.0,Mass-Affluent,ynarayanan@example.net,9876905215,HDFC,True,2023-03-18
CUST000111,Jairaj Bhalla,58.0,Male,Bihar,Kollam,211063,Self-Employed,10-25L,Prime,70.0,Broker,7.0,Mass-Affluent,chandreshbuch@example.com,9876743734,HDFC,True,2020-11-09
CUST000112,Reyansh Soni,45.0,Male,Bihar,Shimla,749072,Retired,2-5L,Near-Prime,13.0,Online,4.0,Mass,buchpatrick@example.org,9876834092,HDFC,True,2021-04-10
CUST000113,Maanas Gulati,49.0,Female,West Bengal,Aurangabad,253269,Student,2-5L,Prime,24.0,Agent,1.0,Affluent,nitara84@example.org,9876495464,HDFC,True,2024-01-19
CUST000114,Zashil Pai,49.0,Male,Rajasthan,Bettiah,442101,Salaried,2-5L,Prime,20.0,Broker,1.0,Mass,upadmanabhan@example.org,9876226929,HDFC,True,2022-11-11
CUST000115,Fariq Sehgal,22.0,Male,Kerala,Hubli–Dharwad,959194,Self-Employed,2-5L,Near-Prime,45.0,Online,6.0,Mass-Affluent,shravya57@example.com,9876602205,HDFC,True,2021-09-18
CUST000116,Charita Suresh,53.0,Male,Uttar Pradesh,Bongaigaon,392056,Farmer,5-10L,Prime,51.0,Agent,6.0,Mass-Affluent,ushenoy@example.com,9876108908,HDFC,True,2024-08-24
CUST000117,Ucchal Sethi,67.0,Male,Maharashtra,Ajmer,602562,Farmer,<2L,Near-Prime,70.0,Broker,3.0,Mass-Affluent,apau@example.com,9876485575,HDFC,True,2022-07-31
CUST000118,Matthew Gour,52.0,Male,Telangana,Bareilly,672453,Salaried,2-5L,Sub-Prime,46.0,Direct,5.0,Affluent,tankmanya@example.org,9876528519,HDFC,True,2023-01-08
CUST000119,Arunima Kari,27.0,Male,Bihar,Morbi,662705,Homemaker,25-50L,Thin-File,8.0,Broker,6.0,Mass,bhavsarekiya@example.net,9876417185,HDFC,True,2020-06-24
CUST000120,Bimala Dhaliwal,47.0,Female,Uttar Pradesh,Kadapa,367042,Business Owner,10-25L,Near-Prime,50.0,Direct,4.0,Mass,deepa96@example.net,9876605286,HDFC,True,2020-06-05
CUST000121,Kai Wagle,72.0,Female,Uttar Pradesh,Mau,259710,Homemaker,<2L,Prime,50.0,Agent,5.0,Mass,apingle@example.org,9122197657,SBI,False,2023-10-26
CUST000122,Eta Kaur,40.0,Male,Maharashtra,Fatehpur,859532,Self-Employed,5-10L,Prime,37.0,Agent,1.0,Affluent,veer99@example.org,9281920962,HDFC,False,2020-09-18
CUST000123,Vrinda Singhal,26.0,Male,Jharkhand,Satara,629518,Government Employee,5-10L,Near-Prime,67.0,Direct,7.0,Mass,mshere@example.net,9224285309,Kotak,False,2023-04-14
CUST000124,Ekalinga Sengupta,50.0,Male,West Bengal,Nellore,250733,Farmer,5-10L,Sub-Prime,39.0,Bancassurance,5.0,Mass-Affluent,narangishani@example.net,9348525881,Axis,False,2021-09-11
CUST000125,Madhav Mahajan,69.0,Female,Gujarat,Shivpuri,983399,Business Owner,5-10L,Prime,71.0,Agent,4.0,Mass,merchantdarsh@example.net,9666128917,SBI,False,2020-09-22
CUST000126,Yamini Mandal,52.0,Male,Uttar Pradesh,Gandhinagar,044324,Retired,5-10L,Sub-Prime,23.0,Broker,5.0,Affluent,balakrishnanoviya@example.org,9503850941,SBI,False,2021-10-03
CUST000127,Udyati Divan,18.0,Male,Delhi,Eluru,975147,Self-Employed,5-10L,Near-Prime,60.0,Direct,5.0,Mass,rudra97@example.com,9534899675,SBI,False,2024-04-17
CUST000128,Kabir Naidu,61.0,Male,Bihar,Amravati,587525,Self-Employed,2-5L,Prime,42.0,Agent,6.0,Mass,obal@example.com,9426242690,ICICI,False,2022-10-22
CUST000129,Meghana Gokhale,26.0,Male,Tamil Nadu,Pudukkottai,459908,Self-Employed,<2L,Near-Prime,7.0,Broker,1.0,Mass,deowatika@example.org,9371161369,Kotak,False,2023-02-07
CUST000130,Logan Doshi,53.0,Male,Bihar,Nagaon,315551,Retired,10-25L,Prime,11.0,Bancassurance,7.0,Affluent,woza@example.org,9892001355,ICICI,False,2021-03-02
CUST000131,Nandini Bhatia,62.0,Male,Maharashtra,Tenali,813721,Retired,2-5L,Thin-File,22.0,Agent,7.0,Mass-Affluent,utkarsh30@example.net,9524878497,HDFC,False,2023-12-15
CUST000132,Charles Kar,53.0,Male,West Bengal,Kalyan-Dombivli,332285,Retired,10-25L,Near-Prime,36.0,Online,2.0,Mass,lila60@example.net,9419679930,HDFC,False,2022-03-24
CUST000133,Waida Bajwa,18.0,Female,Delhi,Jamalpur,039033,Salaried,<2L,Sub-Prime,39.0,Online,2.0,Mass,wamble@example.net,,Axis,False,2024-12-13
CUST000134,Jhalak Upadhyay,36.0,Female,Odisha,Sikar,280944,Self-Employed,2-5L,Sub-Prime,37.0,Agent,6.0,Mass-Affluent,yasti62@example.org,9429292370,Axis,False,2020-12-04
CUST000135,Gaurika Hayre,21.0,Male,Bihar,Bhilwara,147079,Farmer,2-5L,Prime,52.0,Broker,5.0,Mass-Affluent,ljayaraman@example.org,9103755340,ICICI,False,2021-06-21
CUST000136,Lila Chhabra,40.0,Male,West Bengal,Kollam,394570,Business Owner,5-10L,Near-Prime,44.0,Broker,5.0,Mass-Affluent,zayyankalla@example.net,9584683939,Kotak,False,2024-09-06
CUST000137,Dayita Arora,72.0,Male,Rajasthan,Bokaro,376576,Retired,25-50L,Near-Prime,41.0,Agent,2.0,Mass,vyanjanasrinivasan@example.net,9594370711,SBI,False,2020-07-27
