adjuster_id,adjuster_name,specialisation,avg_settlement_days,caseload,state
ADJ000136,Harish Grover,Health,84.5,31,Andhra Pradesh
ADJ000137,Damini Gaba,Crop,112.2,165,Tamil Nadu
ADJ000138,Quincy Bains,Life,82.3,127,Rajasthan
ADJ000139,Tanmayi Saran,Marine,116.1,187,Madhya Pradesh
ADJ000140,Urvashi Kohli,Travel,98.3,131,Andhra Pradesh
ADJ000141,Kashvi Nazareth,Health,81.8,114,Tamil Nadu
ADJ000142,Nandini Mital,Home,42.5,86,Delhi
ADJ000143,Vivaan Tripathi,Life,111.1,120,Uttar Pradesh
ADJ000144,Oviya Sandhu,Crop,38.4,84,Uttar Pradesh
ADJ000145,Nandini Balakrishnan,Travel,65.6,150,Madhya Pradesh
ADJ000146,Yauvani Ganesan,Marine,96.4,42,Rajasthan
ADJ000147,Rushil Dewan,Marine,111.1,87,Tamil Nadu
ADJ000148,Gauri Bhagat,Health,62.2,187,Maharashtra
ADJ000149,Dayamai Dhaliwal,Life,115.6,188,West Bengal
ADJ000150,Tara Randhawa,Travel,60.9,167,Gujarat
ADJ000151,Triveni Acharya,Motor,113.2,89,Kerala
ADJ000152,Sai Gera,Home,111.5,156,West Bengal
ADJ000153,Damyanti Buch,Motor,71.1,190,Maharashtra
ADJ000154,Warinder Jani,Life,34.0,197,Delhi
ADJ000155,Gautam Konda,Marine,85.8,193,Manipur
ADJ000156,Kavya Ahluwalia,Travel,66.5,43,West Bengal
ADJ000157,Nathaniel Padmanabhan,Crop,54.5,128,Odisha
ADJ000158,Urishilla Ramesh,Health,110.4,179,Madhya Pradesh
ADJ000159,Urmi Puri,Life,40.7,129,Maharashtra
ADJ000160,Xavier Char,Marine,68.5,59,Punjab
ADJ000161,Kabir Nadkarni,Motor,39.9,80,Chhattisgarh
ADJ000162,Mugdha Narain,Crop,88.3,45,Gujarat
ADJ000163,Panini Ramesh,Life,119.9,41,Haryana
ADJ000164,Idika Suresh,Life,77.0,181,Tamil Nadu
ADJ000165,Tristan Gokhale,Travel,29.9,120,Uttar Pradesh
ADJ000166,Jyoti Pathak,Motor,48.5,169,Uttar Pradesh
ADJ000167,Yachana Agarwal,Motor,110.0,117,Uttar Pradesh
ADJ000168,Faras Karpe,Travel,106.7,27,West Bengal
ADJ000169,Xalak Guha,Crop,23.2,153,Uttar Pradesh
ADJ000170,Siddharth Mittal,Travel,47.3,136,Uttar Pradesh
ADJ000171,Girik Nori,Travel,103.8,121,Tamil Nadu
ADJ000172,Pranit Sandal,Crop,117.3,71,Odisha
ADJ000173,Bhavani Mukhopadhyay,Travel,54.4,113,Bihar
ADJ000174,Vasana Banerjee,Crop,57.4,143,West Bengal
ADJ000175,Oviya Gola,Travel,94.4,193,Haryana
ADJ000176,Mitali Varughese,Travel,12.2,148,Uttar Pradesh
ADJ000177,Udyati Butala,Life,113.0,108,Kerala
ADJ000178,Harrison Ravel,Life,119.5,67,Maharashtra
ADJ000179,Naveen Nagar,Motor,110.2,175,Maharashtra
ADJ000180,Yashica Rajagopalan,Home,70.8,102,Uttar Pradesh
ADJ000181,Advay Sunder,Home,46.1,193,Telangana
ADJ000182,Pahal Bhagat,Motor,77.2,71,Uttar Pradesh
ADJ000183,Pavani Kuruvilla,Crop,59.4,179,Kerala
ADJ000184,Shravya Thakkar,Travel,24.7,65,Kerala
ADJ000185,Urvashi Nayak,Health,56.1,176,Karnataka
ADJ000186,Isaac Gola,Marine,33.7,153,Haryana
ADJ000187,Leela Buch,Travel,19.0,188,Madhya Pradesh
ADJ000188,Abhimanyu Nazareth,Health,35.3,123,Jharkhand
ADJ000189,Rudra Varma,Life,48.0,59,Uttar Pradesh
ADJ000190,Radhika Bava,Marine,56.0,97,Madhya Pradesh
ADJ000191,Baghyawati Baral,Crop,22.9,193,Uttar Pradesh
ADJ000192,Vrishti Sharma,Life,115.2,78,Karnataka
ADJ000193,Chandresh Pingle,Marine,67.2,34,Gujarat
ADJ000194,Pavani Nazareth,Travel,82.3,155,Tamil Nadu
ADJ000195,Arjun Loke,Travel,87.9,54,Karnataka
ADJ000196,Chaaya Parikh,Marine,90.5,199,Punjab
ADJ000197,Anay Sekhon,Home,74.8,176,Odisha
ADJ000198,Chameli Banik,Marine,84.6,62,Kerala
ADJ000199,Ishanvi Bansal,Home,99.8,27,Assam
ADJ000200,Yuvraj Gill,Travel,27.2,141,Maharashtra
